Manufacturer Part Number,DigikeyPart Number,Digikey Description,CM Description,CM Comment,Customer Reference,Quantity
,,,,,,
CL10B105KP8NNNC,1276-1946-1-ND ,CAP CER 1UF 16V X5R 0603,CL10 Series 0603 16 V 1 uF �20% Tolerance X7R Multilayer Ceramic Capacitor,1uF,C1/C2/C3/C9/C12,5
‎CL10F104ZO8NNNC‎,‎1276-1258-1-ND‎,CAP CER 0.1UF 16V Y5V 0603,CAP CER 0.1UF 25V X7R 0603,0.1uF,C4/C6/C7/C8/C10/C11,6
‎CL32A107MPVNNNE‎,‎1276-3364-1-ND‎,CAP CER 100UF 10V X5R 1210,Samsung Electro-Mechanics 100F 20% 10 V X5R Dielectric SMD Ceramic Multilayer Capacitor 1210,100uF,C5/C13,2
‎LTST-C191KGKT‎,‎160-1446-1-ND‎,LED GREEN CLEAR SMD,LED; SMD; 0603; green; 18-71mcd; 1.6x0.8x0.55mm; 130�; 1.9�2.4V,LEDG,D1/D2/D3,3
‎LTST-C191KFKT‎,‎160-1445-1-ND‎,LED ORANGE CLEAR SMD,LED; SMD; 0603; orange; 45-90mcd; 1.6x0.8x0.55mm; 130�; 2�2.4V; 20mA,LEDO,D4,1
‎LTST-C191KRKT‎,‎160-1447-1-ND‎,LED RED CLEAR SMD,LED; SMD; 0603; red; 18-54mcd; 1.6x0.8x0.55mm; 130�; 2�2.4V; 20mA,LEDR,D5,1
‎LSM115JE3/TR13‎,‎LSM115JE3/TR13CT-ND‎,DIODE SCHOTTKY 15V 1A DO214AC,Diode Schottky 15V 1A 2-Pin DO-214AB T/R,1A,D6,1
‎NSR0140P2T5G‎,‎NSR0140P2T5GOSCT-ND‎,DIODE SCHOTTKY 30V 70MA SOD923,"Schottky Barrier Diode, 2-Pin SOD-923, Pb-Free, Tape and Reel",NSR0140P2T5G,D7/D8/D9,3
‎TSM-103-01-L-SV‎,‎SAM8981-ND‎,"CONN HEADER 3POS .100"" SNGL SMD",Conn Unshrouded Header HDR 3 POS 2.54mm Solder ST SMD Automotive Bulk,3_PIN_JUMPER,J1,1
ZX62R-B-5P(30),H125274CT-ND,CONN RCPT USB MICRO B SMD R/A,Single Port 5 Contact Horizontal Micro B USB 2.0 Connector,LCSC Micro USB 5P B Type SMT,J2,1
‎87583-2010BLF‎,‎609-4413-ND‎,CONN RCPT USB 4POS UNIV SERIAL,CONN RCPT USB 4POS UNIV SERIAL,USB TYPE A SOCKET SMD FCI 87583-2010BLF,J3,1
‎BCS-120-L-D-TE‎,‎SAM1008-20-ND‎,"CONN RCPT 40POS .100"" DUAL VERT","Raspberry Pi 3 Model B, 64bit, 1GB RAM, Wi-Fi 802.11n BT 4.1",Raspberry Pi RASPBERRYPI3-MODB-1GB.,J4,1
